1	坚决	坚决	a	ad	_	2	方式	
2	惩治	惩治	v	v	_	0	核心成分	
3	贪污	贪污	v	v	_	7	限定	
4	贿赂	贿赂	n	n	_	3	连接依存	
5	等	等	u	udeng	_	3	连接依存	
6	经济	经济	n	n	_	7	限定	
7	犯罪	犯罪	v	vn	_	2	受事		

1	把	把	p	p	_	5	状中结构
2	卧室	卧室	n	n	_	4	定中关系
3	的	的	u	u	_	2	右附加关系 
4	吸顶灯	吸顶灯	n	n	_	1	介宾关系
5	打开	打开	v	v	_	0	核心关系

1	把	把	p	p	_	5	状中结构
2	客厅	客厅	n	n	_	4	定中关系
3	的	的	u	u	_	2	右附加关系 
4	吸顶灯	吸顶灯	n	n	_	1	介宾关系
5	打开	打开	v	v	_	0	核心关系

1	打开	打开	v	v	_	0	核心关系
2	卧室	卧室	n	n	_	1	动宾关系	
3	的	的	u	u	_	1	右附加关系   
4	吸顶灯	吸顶灯	n	n	_	1	动宾关系

1	请	请	v	v	_	0	核心关系
2	你	你	r	r	_	1	兼语
3	打开	打开	v	v	_	1	动宾关系
4	卧室	卧室	n	n	_	6	定中关系
5	的	的	u	u	_	4	右附加关系
6	吸顶灯	吸顶灯	n	n	_	3	动宾关系

1	把	把	p	p	_	5	状中结构
2	卧室	卧室	n	n	_	4	定中关系
3	的	的	u	u	_	2	右附加关系
4	吸顶灯	吸顶灯	n	n	_	1	介宾关系
5	启动	启动	v	v	_	0	核心关系

1	启动	启动	v	v	_	4	定中关系
2	卧室	卧室	n	n	_	1	动宾关系
3	的	的	u	u	_	1	右附加关系
4	吸顶灯	吸顶灯	n	n	_	0	核心关系

1	请	请	v	v	_	0	核心关系
2	你	你	r	r	_	1	兼语
3	启动	启动	v	v	_	1	动宾关系
4	卧室	卧室	n	n	_	6	定中关系
5	的	的	u	u	_	4	右附加关系
6	吸顶灯	吸顶灯	n	n	_	3	动宾关系

1	把	把	p	p	_	5	状中结构
2	卧室	卧室	n	n	_	4	定中关系
3	的	的	u	u	_	2	右附加关系
4	吸顶灯	吸顶灯	n	n	_	1	介宾关系
5	开启	开启	v	v	_	0	核心关系

1	开启	开启	v	v	_	0	核心关系
2	卧室	卧室	n	n	_	1	动宾关系	
3	的	的	u	u	_	1	右附加关系   
4	吸顶灯	吸顶灯	n	n	_	1	动宾关系

1	请	请	v	v	_	0	核心关系
2	你	你	r	r	_	1	兼语
3	开启	开启	v	v	_	1	动宾关系
4	卧室	卧室	n	n	_	6	定中关系
5	的	的	u	u	_	4	右附加关系
6	吸顶灯	吸顶灯	n	n	_	3	动宾关系

1	开	开	v	v	_	0	核心关系
2	卧室	卧室	n	n	_	1	动宾关系	
3	的	的	u	u	_	1	右附加关系   
4	吸顶灯	吸顶灯	n	n	_	1	动宾关系

1	请	请	v	v	_	0	核心关系
2	你	你	r	r	_	1	兼语
3	开	开	v	v	_	1	动宾关系
4	卧室	卧室	n	n	_	6	定中关系
5	的	的	u	u	_	4	右附加关系
6	吸顶灯	吸顶灯	n	n	_	3	动宾关系

1	把	把	p	p	_	5	状中结构
2	客厅	客厅	n	n	_	4	定中关系
3	的	的	u	u	_	2	右附加关系
4	吸顶灯	吸顶灯	n	n	_	1	介宾关系
5	打开	打开	v	v	_	0	核心关系

1	打开	打开	v	v	_	0	核心关系
2	客厅	客厅	n	n	_	1	动宾关系
3	的	的	u	u	_	1	右附加关系
4	吸顶灯	吸顶灯	n	n	_	1	动宾关系

1	请	请	v	v	_	0	核心关系
2	你	你	r	r	_	1	兼语
3	打开	打开	v	v	_	1	动宾关系
4	客厅	客厅	n	n	_	3	动宾关系
5	的	的	u	u	_	4	右附加关系
6	吸顶灯	吸顶灯	n	n	_	3	动宾关系

1	把	把	p	p	_	5	状中结构
2	客厅	客厅	n	n	_	4	定中关系
3	的	的	u	u	_	2	右附加关系
4	吸顶灯	吸顶灯	n	n	_	1	介宾关系
5	启动	启动	v	v	_	0	核心关系

1	启动	启动	v	v	_	0	核心关系
2	客厅	客厅	n	n	_	1	动宾关系
3	的	的	u	u	_	1	右附加关系
4	吸顶灯	吸顶灯	n	n	_	1	动宾关系

1	请	请	v	v	_	0	核心关系
2	你	你	r	r	_	1	兼语
3	启动	启动	v	v	_	1	动宾关系
4	客厅	客厅	n	n	_	3	动宾关系
5	的	的	u	u	_	4	右附加关系
6	吸顶灯	吸顶灯	n	n	_	1	动宾关系

1	开启	开启	v	v	_	0	核心关系
2	客厅	客厅	n	n	_	1	动宾关系
3	的	的	u	u	_	1	右附加关系
4	吸顶灯	吸顶灯	n	n	_	1	动宾关系

1	请	请	v	v	_	0	核心关系
2	你	你	r	r	_	1	兼语
3	开启	开启	v	v	_	1	动宾关系
